,art,intensity_std,intensity_mean,phase_std,phase_mean
0,Eiche,0.011047310195863247,0.0819581001996994,0.11260292679071426,1.156474232673645
1,Eiche,0.012953018769621849,0.07218775898218155,0.11637014895677567,1.1056287288665771
2,Eiche,0.011034629307687283,0.08131425827741623,0.08718296885490417,1.17100191116333
3,Eiche,0.013215103186666965,0.08601713925600052,0.09064459800720215,1.1814042329788208
4,Eiche,0.015961669385433197,0.08047045022249222,0.2562180459499359,1.174991250038147
5,Eiche,0.011790093034505844,0.07317318767309189,0.10723786056041718,1.1655582189559937
6,Eiche,0.014862161129713058,0.09393429011106491,0.10440704971551895,1.1115336418151855
7,Eiche,0.013502823188900948,0.08860357105731964,0.10200782865285873,1.0994375944137573
8,Eiche,0.01200359221547842,0.08717694133520126,0.08861733973026276,1.1581171751022339
9,Eiche,0.01120615191757679,0.06525380909442902,0.13098260760307312,1.0547122955322266
10,Eiche,0.008781728334724903,0.0731263980269432,0.10370896756649017,1.1847375631332397
11,Eiche,0.012871772050857544,0.07644191384315491,0.11674002557992935,1.2030575275421143
12,Eiche,0.012362772598862648,0.08033245801925659,0.10358219593763351,1.147918701171875
13,Eiche,0.014260693453252316,0.08772332221269608,0.09078903496265411,1.1754150390625
14,Eiche,0.011470832861959934,0.08275744318962097,0.08925731480121613,1.0329738855361938
15,Eiche,0.011761151254177094,0.0723189190030098,0.11354006826877594,1.1635067462921143
16,Laerche,0.014177633449435234,0.11550810188055038,0.07755348831415176,1.043352484703064
17,Laerche,0.015152913518249989,0.11437132954597473,0.07571981847286224,1.0456900596618652
18,Laerche,0.017778603360056877,0.11632953584194183,0.0803360566496849,1.0514031648635864
19,Laerche,0.017516128718852997,0.115460604429245,0.07947929948568344,1.0415425300598145
20,Laerche,0.015005016699433327,0.12378893047571182,0.07962873578071594,1.0548030138015747
21,Laerche,0.015004661865532398,0.12503913044929504,0.0746762827038765,1.0434669256210327
22,Laerche,0.017697090283036232,0.11596843600273132,0.08237898349761963,1.057888150215149
23,Laerche,0.011316622607409954,0.11970888078212738,0.07221143692731857,1.0341192483901978
24,Laerche,0.017060991376638412,0.11417989432811737,0.07774589210748672,1.0429518222808838
25,Laerche,0.017163369804620743,0.11089947819709778,0.08067701756954193,1.0538674592971802
26,Laerche,0.013442748226225376,0.11815418303012848,0.07330422103404999,1.0516178607940674
27,Laerche,0.013891180977225304,0.11428548395633698,0.07726316154003143,1.0408663749694824
28,Laerche,0.013693349435925484,0.11608423292636871,0.0749516710639,1.0465043783187866
29,Laerche,0.018123876303434372,0.10898268967866898,0.0999852865934372,1.0845119953155518
30,Laerche,0.014167257584631443,0.10821130871772766,0.08299273997545242,1.0660206079483032
31,Laerche,0.017386840656399727,0.11180362850427628,0.07773680984973907,1.0516886711120605
