,art,intensity_std,intensity_mean,mod_std,mod_mean,phase_life_std,phase_life_mean,mod_life_std,mod_life_mean
0,Ahorn,0.20376944541931152,2.3428359031677246,0.007147002499550581,0.913160502910614,0.04650234058499336,1.9012210369110107,0.11133303493261337,2.366726875305176
1,Ahorn,0.37137603759765625,2.420315980911255,0.007301387842744589,0.9117226600646973,0.0571717731654644,1.9056884050369263,0.11324353516101837,2.3891091346740723
2,Ahorn,0.2951376140117645,2.388786554336548,0.0075517259538173676,0.907809853553772,0.06382904201745987,1.932796835899353,0.11570272594690323,2.4495608806610107
3,Ahorn,0.32900458574295044,2.1865618228912354,0.007817440666258335,0.911359965801239,0.06554640084505081,1.9009995460510254,0.12096234411001205,2.3945722579956055
4,Buche,0.04988892376422882,0.6640524864196777,0.010725479573011398,0.9061607122421265,0.06652598828077316,1.8178318738937378,0.16055092215538025,2.473923444747925
5,Buche,0.08560687303543091,0.6182752251625061,0.01243570726364851,0.9138684868812561,0.0897679552435875,1.683148741722107,0.18910178542137146,2.3535284996032715
6,Buche,0.11855757981538773,0.6475604772567749,0.012250213883817196,0.9133983850479126,0.11010334640741348,1.7151541709899902,0.18842847645282745,2.360830068588257
7,Buche,0.09302768856287003,0.5608938336372375,0.014194811694324017,0.913554847240448,0.12266644090414047,1.6487518548965454,0.21567514538764954,2.357433319091797
8,Eiche,0.15427044034004211,0.6593193411827087,0.01421608217060566,0.9438990354537964,0.11101919412612915,1.3514713048934937,0.2494092583656311,1.8457162380218506
9,Eiche,0.13577650487422943,0.6512612700462341,0.014571820385754108,0.9416806697845459,0.1133958250284195,1.3630571365356445,0.25494998693466187,1.885252594947815
10,Eiche,0.09424424171447754,0.6906257271766663,0.012183940969407558,0.9428184032440186,0.08691894263029099,1.3573894500732422,0.2107623964548111,1.8683772087097168
11,Eiche,0.10946638137102127,0.6188183426856995,0.01675550639629364,0.9483232498168945,0.11298247426748276,1.312290906906128,0.3081882894039154,1.7575621604919434
12,Fichte,0.16513016819953918,1.4684333801269531,0.008534765802323818,0.912425696849823,0.03998439386487007,1.845713496208191,0.13172784447669983,2.377746105194092
13,Fichte,0.19295479357242584,1.591062068939209,0.007795833982527256,0.9113466143608093,0.04948050528764725,1.8458434343338013,0.12034877389669418,2.394813299179077
14,Fichte,0.19138363003730774,1.6227946281433105,0.00774245522916317,0.9112377762794495,0.04414600133895874,1.8517118692398071,0.1194341704249382,2.39652419090271
15,Fichte,0.1438581347465515,1.6257330179214478,0.007336486596614122,0.9171313643455505,0.04680316895246506,1.7927770614624023,0.11541849374771118,2.304147481918335
16,Kiefer,0.22382491827011108,3.0276761054992676,0.010504291392862797,0.9203992486000061,0.05841372534632683,1.8444253206253052,0.1685618907213211,2.250190019607544
17,Kiefer,0.30612221360206604,2.4973671436309814,0.008378316648304462,0.9098249673843384,0.07301456481218338,1.9501674175262451,0.12919770181179047,2.418165683746338
18,Kiefer,0.26137039065361023,2.257024049758911,0.009377430193126202,0.9208320379257202,0.0859554260969162,1.7951761484146118,0.15039193630218506,2.243948221206665
19,Kiefer,0.3346768915653229,2.223414421081543,0.010148856788873672,0.9059402346611023,0.08163808286190033,1.953381061553955,0.15379363298416138,2.4773266315460205
20,Laerche,0.10286170989274979,1.5853840112686157,0.008400465361773968,0.9479820132255554,0.04545976221561432,1.593160629272461,0.15422828495502472,1.7768887281417847
21,Laerche,0.1579621583223343,1.75411057472229,0.008381766267120838,0.9491404891014099,0.05512087419629097,1.5620453357696533,0.15563708543777466,1.7550956010818481
22,Laerche,0.16689430177211761,1.8154877424240112,0.008231938816606998,0.9476301074028015,0.041911039501428604,1.5996832847595215,0.1507996916770935,1.783617615699768
23,Laerche,0.13998956978321075,1.6729434728622437,0.008554697036743164,0.9536842703819275,0.03655143827199936,1.5024402141571045,0.16416598856449127,1.6675931215286255
24,Eiche,0.07943294197320938,0.2937648594379425,0.023279385641217232,0.9217666387557983,0.21055996417999268,1.4218285083770752,0.7316437363624573,2.2251639366149902
25,Eiche,0.033010005950927734,0.3614858090877533,0.020686710253357887,0.9139435291290283,0.0879553034901619,1.5696874856948853,0.3045039474964142,2.3484086990356445
26,Eiche,0.038233015686273575,0.3761541545391083,0.02073293924331665,0.9186914563179016,0.10572181642055511,1.5437895059585571,0.3099667429924011,2.272535800933838
27,Eiche,0.038216542452573776,0.45266851782798767,0.022210540249943733,0.9141334295272827,0.07305438816547394,1.6225768327713013,0.3327123820781708,2.344965934753418
28,Eiche,0.0453629232943058,0.31486302614212036,0.021241363137960434,0.9201920032501221,0.09685684740543365,1.4541409015655518,0.6499335169792175,2.2493765354156494
29,Eiche,0.04368393495678902,0.29100534319877625,0.017875980585813522,0.9488014578819275,0.09258637577295303,1.3412576913833618,0.6351718306541443,1.7566629648208618
30,Eiche,0.03734397143125534,0.32717689871788025,0.01787782646715641,0.9475916028022766,0.06372040510177612,1.368799090385437,0.5501517057418823,1.7765713930130005
31,Eiche,0.03377077728509903,0.22239439189434052,0.02120368927717209,0.952309787273407,0.07937698066234589,1.2112691402435303,0.7296888828277588,1.6891546249389648
32,Eiche,0.05281379818916321,0.3218763470649719,0.019096337258815765,0.9432877898216248,0.07053496688604355,1.4075114727020264,0.5544915199279785,1.855595588684082
33,Eiche,0.039052464067935944,0.22781333327293396,0.02072986215353012,0.9491874575614929,0.0704006627202034,1.2753868103027344,0.722027063369751,1.7509874105453491
34,Eiche,0.046166591346263885,0.29955267906188965,0.018024863675236702,0.9109176397323608,0.06881365180015564,1.7045490741729736,0.5272831916809082,2.399515151977539
35,Eiche,0.0229968149214983,0.3346151113510132,0.017189564183354378,0.9110172986984253,0.06528680771589279,1.728331208229065,0.2461576610803604,2.3968448638916016
36,Eiche,0.03312475606799126,0.2598620355129242,0.018820753321051598,0.9125193953514099,0.07061474025249481,1.6611937284469604,0.6223152875900269,2.375194787979126
37,Eiche,0.03788595274090767,0.3074973523616791,0.01928732730448246,0.9027509689331055,0.10065574198961258,1.787917137145996,0.2690400779247284,2.5233101844787598
38,Eiche,0.06838852912187576,0.31187283992767334,0.018524687737226486,0.9116808176040649,0.07374196499586105,1.6976453065872192,0.4170563519001007,2.3869051933288574
39,Eiche,0.02962464839220047,0.34839484095573425,0.02050947956740856,0.9196168184280396,0.07026810199022293,1.5164333581924438,0.3060125708580017,2.2576770782470703
