,art,mod_std,mod_mean
0,Eiche,0.060036156326532364,0.8749305605888367
1,Eiche,0.06947720050811768,0.8653907179832458
2,Eiche,0.05952317267656326,0.8728923201560974
3,Eiche,0.05715712904930115,0.8730689883232117
4,Eiche,0.06146638095378876,0.8686742186546326
5,Eiche,0.06594357639551163,0.8639653921127319
6,Eiche,0.05488906800746918,0.8770875930786133
7,Eiche,0.056139811873435974,0.879355251789093
8,Eiche,0.05666998773813248,0.8809119462966919
9,Eiche,0.07435683161020279,0.8632749915122986
10,Eiche,0.06534133106470108,0.8608612418174744
11,Eiche,0.06440428644418716,0.859950065612793
12,Eiche,0.06245971843600273,0.872800886631012
13,Eiche,0.05569794028997421,0.8742853999137878
14,Eiche,0.060315344482660294,0.8898729085922241
15,Eiche,0.06679724156856537,0.8610945343971252
16,Laerche,0.04250102862715721,0.8994907736778259
17,Laerche,0.04312051832675934,0.8980562686920166
18,Laerche,0.042725201696157455,0.8980169892311096
19,Laerche,0.0446009524166584,0.8962787389755249
20,Laerche,0.039759546518325806,0.9000974297523499
21,Laerche,0.04003657028079033,0.8998025059700012
22,Laerche,0.047352612018585205,0.895864725112915
23,Laerche,0.0412653423845768,0.8991104364395142
24,Laerche,0.04332764074206352,0.9009310007095337
25,Laerche,0.04845627397298813,0.8967287540435791
26,Laerche,0.04139680042862892,0.8985264301300049
27,Laerche,0.043166883289813995,0.8974882960319519
28,Laerche,0.04264789819717407,0.8971569538116455
29,Laerche,0.04570453241467476,0.8918653726577759
30,Laerche,0.04506863281130791,0.8947254419326782
31,Laerche,0.0441887192428112,0.8977832198143005
32,Ahorn,0.029542433097958565,0.9074605703353882
33,Ahorn,0.0277452003210783,0.908288300037384
34,Ahorn,0.02970012091100216,0.906637966632843
35,Ahorn,0.030597900971770287,0.9060187935829163
36,Ahorn,0.028485504910349846,0.905235230922699
37,Ahorn,0.027081044390797615,0.9063568115234375
38,Ahorn,0.032551467418670654,0.901583194732666
39,Ahorn,0.03334467485547066,0.902377188205719
40,Ahorn,0.03684091195464134,0.902728796005249
41,Ahorn,0.032140351831912994,0.9000974297523499
42,Ahorn,0.03897705674171448,0.9051165580749512
43,Ahorn,0.03548441827297211,0.9066632390022278
44,Ahorn,0.02607789821922779,0.9077075719833374
45,Ahorn,0.025594964623451233,0.9081764817237854
46,Ahorn,0.026762153953313828,0.9079408049583435
47,Ahorn,0.02829359658062458,0.9100022315979004
48,Ahorn,0.026404524222016335,0.9075525403022766
49,Ahorn,0.027888581156730652,0.9099923968315125
50,Ahorn,0.02457035891711712,0.9115225076675415
51,Ahorn,0.028307661414146423,0.9120913147926331
52,Ahorn,0.02701934427022934,0.9114106297492981
53,Ahorn,0.031146613880991936,0.9061357975006104
54,Ahorn,0.029848048463463783,0.9084215760231018
55,Ahorn,0.029122237116098404,0.9192865490913391
56,Ahorn,0.02803667075932026,0.9094318151473999
57,Ahorn,0.031379543244838715,0.9086678624153137
58,Ahorn,0.02588820829987526,0.9102194309234619
59,Ahorn,0.03388554975390434,0.9316921234130859
60,Ahorn,0.03169231489300728,0.905656635761261
61,Ahorn,0.03547443076968193,0.9085883498191833
62,Ahorn,0.032643888145685196,0.9077951312065125
63,Ahorn,0.03053336590528488,0.9058169722557068
64,Ahorn,0.027408061549067497,0.9083095192909241
65,Ahorn,0.028596332296729088,0.9060949087142944
66,Ahorn,0.031015988439321518,0.9179044365882874
67,Ahorn,0.042786359786987305,0.9041957855224609
68,Ahorn,0.03328609839081764,0.9185327887535095
69,Ahorn,0.0361483208835125,0.9168041944503784
70,Ahorn,0.04202640801668167,0.9047597050666809
71,Ahorn,0.04177136719226837,0.899127721786499
72,Ahorn,0.038534652441740036,0.9080830216407776
73,Ahorn,0.04072154313325882,0.9090620875358582
74,Ahorn,0.03158750385046005,0.9201624989509583
75,Ahorn,0.031089359894394875,0.9199283719062805
76,Ahorn,0.029987288638949394,0.9189695715904236
77,Ahorn,0.03242841735482216,0.9194528460502625
78,Ahorn,0.03662295639514923,0.9072543978691101
79,Ahorn,0.03620428591966629,0.9062240719795227
80,Buche,0.06302368640899658,0.9002463817596436
81,Buche,0.06911122798919678,0.9019378423690796
82,Buche,0.06994519382715225,0.8958645462989807
83,Buche,0.06964018940925598,0.9025647044181824
84,Buche,0.043661464005708694,0.8939135670661926
85,Buche,0.05003342777490616,0.8999637961387634
86,Buche,0.06700320541858673,0.8984291553497314
87,Buche,0.06298673897981644,0.8986536264419556
88,Buche,0.08581335097551346,0.9031420350074768
89,Buche,0.06702092289924622,0.9030036330223083
90,Buche,0.05860603600740433,0.9011881351470947
91,Buche,0.06635703891515732,0.8947837948799133
92,Buche,0.046999283134937286,0.8924266695976257
93,Buche,0.06561705470085144,0.9039561748504639
94,Buche,0.05152832716703415,0.8998726606369019
95,Buche,0.08487444370985031,0.874870777130127
96,Buche,0.07750917971134186,0.8973368406295776
97,Buche,0.08657176792621613,0.872094988822937
98,Buche,0.08225923031568527,0.8774087429046631
99,Buche,0.04933458939194679,0.8818749785423279
100,Buche,0.07901395857334137,0.8770785331726074
101,Buche,0.08219747990369797,0.8746955394744873
102,Buche,0.04688477888703346,0.8815450072288513
103,Buche,0.055619820952415466,0.8762742280960083
104,Buche,0.05360192060470581,0.874838650226593
105,Buche,0.06199129670858383,0.8774908781051636
106,Buche,0.0505339577794075,0.8806795477867126
107,Buche,0.06018614023923874,0.877187967300415
108,Buche,0.047518156468868256,0.8760991096496582
109,Buche,0.062450554221868515,0.8798401951789856
110,Buche,0.06784921139478683,0.8781632781028748
111,Buche,0.08197978883981705,0.8722152709960938
112,Buche,0.07597880810499191,0.8739906549453735
113,Buche,0.0852733701467514,0.8697454333305359
114,Buche,0.09498912841081619,0.8649473786354065
115,Buche,0.08656083792448044,0.8838855624198914
116,Buche,0.05993412807583809,0.8830302953720093
117,Buche,0.11359655857086182,0.8708367943763733
118,Buche,0.1008094772696495,0.8720835447311401
119,Buche,0.056683722883462906,0.878486156463623
120,Buche,0.07993227988481522,0.8785234689712524
121,Buche,0.05951807647943497,0.8766990900039673
122,Buche,0.06463520228862762,0.8690798282623291
123,Buche,0.05977039411664009,0.8761078119277954
124,Buche,0.05547941103577614,0.8798308372497559
125,Buche,0.05699143186211586,0.8839975595474243
126,Buche,0.05465220287442207,0.8811066150665283
127,Buche,0.0515805259346962,0.8791393041610718
128,Eiche,0.08034148067235947,0.8643033504486084
129,Eiche,0.07150490581989288,0.8643265962600708
130,Eiche,0.0715855062007904,0.8606042265892029
131,Eiche,0.07131608575582504,0.857694149017334
132,Eiche,0.06815299391746521,0.8694524168968201
133,Eiche,0.0656658262014389,0.8575575351715088
134,Eiche,0.06702281534671783,0.8671613335609436
135,Eiche,0.08278264105319977,0.8455828428268433
136,Eiche,0.09148555248975754,0.8520420789718628
137,Eiche,0.10388927906751633,0.8493779897689819
138,Eiche,0.10339387506246567,0.8365712761878967
139,Eiche,0.06298913061618805,0.8405953645706177
140,Eiche,0.11155987530946732,0.8471586108207703
141,Eiche,0.07087444514036179,0.8615875244140625
142,Eiche,0.09819719195365906,0.8451170325279236
143,Eiche,0.0857284888625145,0.8540980219841003
144,Eiche,0.07532745599746704,0.8571536540985107
145,Eiche,0.052428677678108215,0.8541437387466431
146,Eiche,0.05374406650662422,0.8643739223480225
147,Eiche,0.1178692877292633,0.83477783203125
148,Eiche,0.05937567725777626,0.8511699438095093
149,Eiche,0.07233230024576187,0.8751912117004395
150,Eiche,0.08133172988891602,0.8418037295341492
151,Eiche,0.08364367485046387,0.8405706882476807
152,Eiche,0.07905271649360657,0.8465569019317627
153,Eiche,0.10976140946149826,0.8443792462348938
154,Eiche,0.08384191989898682,0.8573089838027954
155,Eiche,0.06606030464172363,0.8305457830429077
156,Eiche,0.06634578853845596,0.8425121903419495
157,Eiche,0.07244240492582321,0.8528834581375122
158,Eiche,0.0775357186794281,0.856561005115509
159,Eiche,0.08226346224546432,0.8557681441307068
160,Eiche,0.08624065667390823,0.8525190353393555
161,Eiche,0.07695557177066803,0.8484250903129578
162,Eiche,0.1288367360830307,0.8349512219429016
163,Eiche,0.07449031621217728,0.8466712832450867
164,Eiche,0.07942061871290207,0.8460608124732971
165,Eiche,0.08232481777667999,0.8550776839256287
166,Eiche,0.08686139434576035,0.8651288747787476
167,Eiche,0.07705391198396683,0.8468459248542786
168,Eiche,0.08072005957365036,0.8472279906272888
169,Eiche,0.0770086720585823,0.8455264568328857
170,Eiche,0.055195000022649765,0.8487622141838074
171,Eiche,0.057528670877218246,0.8595040440559387
172,Eiche,0.07920262217521667,0.8442054390907288
173,Eiche,0.07791896164417267,0.8420233130455017
174,Eiche,0.08554954826831818,0.8605720400810242
175,Eiche,0.08293701708316803,0.839167594909668
176,Fichte,0.05100531131029129,0.8888793587684631
177,Fichte,0.04125450178980827,0.8919783234596252
178,Fichte,0.04715171456336975,0.8927531242370605
179,Fichte,0.05158491060137749,0.8948237299919128
180,Fichte,0.04288816079497337,0.8852804899215698
181,Fichte,0.041860535740852356,0.8882215023040771
182,Fichte,0.041356731206178665,0.8929194211959839
183,Fichte,0.0343097522854805,0.9027969241142273
184,Fichte,0.04510162025690079,0.8906199336051941
185,Fichte,0.04210241883993149,0.8901147246360779
186,Fichte,0.04310424253344536,0.8931874632835388
187,Fichte,0.03987831622362137,0.8917421102523804
188,Fichte,0.040050387382507324,0.8907038569450378
189,Fichte,0.04627217352390289,0.8947811722755432
190,Fichte,0.06948547065258026,0.880862832069397
