,art,intensity_std,intensity_mean,mod_std,mod_mean
80,Buche,0.012737942859530449,0.07227940112352371,3.796154260635376,2.6252377033233643
81,Buche,0.01176669355481863,0.06450404226779938,4.395586013793945,2.620685338973999
82,Buche,0.013070201501250267,0.0647115483880043,4.408483505249023,2.7117629051208496
83,Buche,0.011931671760976315,0.06470341980457306,4.492908000946045,2.6147685050964355
84,Buche,0.017497282475233078,0.10422881692647934,2.4597253799438477,2.6813347339630127
85,Buche,0.016922280192375183,0.09078580886125565,2.8345985412597656,2.601708173751831
86,Buche,0.016673618927598,0.07071230560541153,4.242266654968262,2.666936159133911
87,Buche,0.0160803385078907,0.07310230284929276,3.8526647090911865,2.6500818729400635
88,Buche,0.012513051740825176,0.052199698984622955,5.8538713455200195,2.6664109230041504
89,Buche,0.013911948539316654,0.06895430386066437,4.294853210449219,2.5991828441619873
90,Buche,0.014047336764633656,0.0776696503162384,3.493619203567505,2.6020090579986572
91,Buche,0.008276352658867836,0.06601554900407791,4.111629009246826,2.7182726860046387
92,Buche,0.0170934796333313,0.09598922729492188,2.653076410293579,2.7087481021881104
93,Buche,0.012741082347929478,0.06850824505090714,4.100388526916504,2.5798325538635254
94,Buche,0.014654340222477913,0.08575727790594101,3.1777687072753906,2.6101696491241455
95,Buche,0.010586600750684738,0.054294273257255554,5.599517345428467,3.0634148120880127
96,Buche,0.00975977536290884,0.05691888928413391,5.179576396942139,2.7216622829437256
97,Buche,0.011259054765105247,0.05398613587021828,5.630383014678955,3.104053497314453
98,Buche,0.011450890451669693,0.0567372664809227,5.40042781829834,3.0172345638275146
99,Buche,0.016578786075115204,0.09589812159538269,2.661397933959961,2.8608851432800293
100,Buche,0.011388445273041725,0.05912363529205322,5.003032684326172,3.0069000720977783
101,Buche,0.010117187164723873,0.05630913004279137,5.176109313964844,3.0492966175079346
102,Buche,0.02111281454563141,0.10545530170202255,2.5762434005737305,2.8623411655426025
103,Buche,0.0155416214838624,0.0883229523897171,3.2715606689453125,2.9549925327301025
104,Buche,0.01505670789629221,0.09007015824317932,2.9739151000976562,2.969881296157837
105,Buche,0.015620446763932705,0.07958507537841797,3.727776050567627,2.950281858444214
106,Buche,0.016375545412302017,0.09534915536642075,2.6429717540740967,2.8785924911499023
107,Buche,0.02203865721821785,0.08508751541376114,3.5916597843170166,2.951636791229248
108,Buche,0.01559888944029808,0.09986025840044022,2.532895803451538,2.9419612884521484
109,Buche,0.018459757789969444,0.08129779249429703,3.742152690887451,2.91804575920105
110,Buche,0.013154593296349049,0.06976824253797531,4.118066310882568,2.9559967517852783
111,Buche,0.010366040281951427,0.056660693138837814,5.370608329772949,3.089975118637085
112,Buche,0.010547267273068428,0.06126861274242401,4.607778072357178,3.0370283126831055
