,art,intensity_std,intensity_mean
0,Eiche,0.011047310195863247,0.0819581001996994
1,Eiche,0.012953018769621849,0.07218775898218155
2,Eiche,0.011034629307687283,0.08131425827741623
3,Eiche,0.013215103186666965,0.08601713925600052
4,Eiche,0.015961669385433197,0.08047045022249222
5,Eiche,0.011790093034505844,0.07317318767309189
6,Eiche,0.014862161129713058,0.09393429011106491
7,Eiche,0.013502823188900948,0.08860357105731964
8,Eiche,0.01200359221547842,0.08717694133520126
9,Eiche,0.01120615191757679,0.06525380909442902
10,Eiche,0.008781728334724903,0.0731263980269432
11,Eiche,0.012871772050857544,0.07644191384315491
12,Eiche,0.012362772598862648,0.08033245801925659
13,Eiche,0.014260693453252316,0.08772332221269608
14,Eiche,0.011470832861959934,0.08275744318962097
15,Eiche,0.011761151254177094,0.0723189190030098
16,Laerche,0.014177633449435234,0.11550810188055038
17,Laerche,0.015152913518249989,0.11437132954597473
18,Laerche,0.017778603360056877,0.11632953584194183
19,Laerche,0.017516128718852997,0.115460604429245
20,Laerche,0.015005016699433327,0.12378893047571182
21,Laerche,0.015004661865532398,0.12503913044929504
22,Laerche,0.017697090283036232,0.11596843600273132
23,Laerche,0.011316622607409954,0.11970888078212738
24,Laerche,0.017060991376638412,0.11417989432811737
25,Laerche,0.017163369804620743,0.11089947819709778
26,Laerche,0.013442748226225376,0.11815418303012848
27,Laerche,0.013891180977225304,0.11428548395633698
28,Laerche,0.013693349435925484,0.11608423292636871
29,Laerche,0.018123876303434372,0.10898268967866898
30,Laerche,0.014167257584631443,0.10821130871772766
31,Laerche,0.017386840656399727,0.11180362850427628
32,Ahorn,0.016585277393460274,0.1412472277879715
33,Ahorn,0.02014213427901268,0.1489437073469162
34,Ahorn,0.021846381947398186,0.1420188546180725
35,Ahorn,0.01725046895444393,0.1363830417394638
36,Ahorn,0.018925189971923828,0.14572979509830475
37,Ahorn,0.019830606877803802,0.15204674005508423
38,Ahorn,0.01792830042541027,0.1310557872056961
39,Ahorn,0.015926185995340347,0.12553195655345917
40,Ahorn,0.015391434542834759,0.11522617936134338
41,Ahorn,0.015427164733409882,0.13016434013843536
42,Ahorn,0.01883430778980255,0.11385191231966019
43,Ahorn,0.018705282360315323,0.12156898528337479
44,Ahorn,0.017077989876270294,0.15547694265842438
45,Ahorn,0.015168946236371994,0.15631332993507385
46,Ahorn,0.016338840126991272,0.15008829534053802
47,Ahorn,0.017859825864434242,0.14345751702785492
48,Ahorn,0.018748123198747635,0.15276280045509338
49,Ahorn,0.01567918248474598,0.1442219614982605
50,Ahorn,0.02009410969913006,0.16330096125602722
51,Ahorn,0.012021285481750965,0.14008493721485138
52,Ahorn,0.017244286835193634,0.14825083315372467
53,Ahorn,0.018466640263795853,0.13719649612903595
54,Ahorn,0.013222816400229931,0.13530878722667694
55,Ahorn,0.01745564118027687,0.1414864957332611
56,Ahorn,0.016868487000465393,0.14431235194206238
57,Ahorn,0.015157666057348251,0.12919981777668
58,Ahorn,0.016168860718607903,0.1545749306678772
59,Ahorn,0.014270695857703686,0.12879015505313873
60,Ahorn,0.016466503962874413,0.1330386847257614
61,Ahorn,0.01651752181351185,0.12052731961011887
62,Ahorn,0.014428835362195969,0.12939567863941193
63,Ahorn,0.015742290765047073,0.13667382299900055
64,Ahorn,0.016345972195267677,0.14641687273979187
65,Ahorn,0.015483647584915161,0.14586640894412994
66,Ahorn,0.019216958433389664,0.13985025882720947
67,Ahorn,0.015016211196780205,0.10282716900110245
68,Ahorn,0.01686324179172516,0.12947900593280792
69,Ahorn,0.02054310031235218,0.12230093032121658
70,Ahorn,0.016115373000502586,0.10668594390153885
71,Ahorn,0.016199929639697075,0.1051684245467186
72,Ahorn,0.016157306730747223,0.11229587346315384
73,Ahorn,0.014664974994957447,0.10618457943201065
74,Ahorn,0.017526639625430107,0.1348399668931961
75,Ahorn,0.01648007333278656,0.13787797093391418
76,Ahorn,0.015433327294886112,0.14059996604919434
