,art,intensity_std,intensity_mean,phase_std,phase_mean,phase_life_std,phase_life_mean,mod_life_std,mod_life_mean
0,Ahorn,0.20376944541931152,2.3428359031677246,0.4452522099018097,19.71501350402832,0.04650234058499336,1.9012210369110107,0.11133303493261337,2.366726875305176
1,Ahorn,0.37137603759765625,2.420315980911255,0.5472583770751953,19.757112503051758,0.0571717731654644,1.9056884050369263,0.11324353516101837,2.3891091346740723
2,Ahorn,0.2951376140117645,2.388786554336548,0.6087432503700256,20.015525817871094,0.06382904201745987,1.932796835899353,0.11570272594690323,2.4495608806610107
3,Ahorn,0.32900458574295044,2.1865618228912354,0.6288716793060303,19.711679458618164,0.06554640084505081,1.9009995460510254,0.12096234411001205,2.3945722579956055
4,Buche,0.04988892376422882,0.6640524864196777,0.6435989141464233,18.911718368530273,0.06652598828077316,1.8178318738937378,0.16055092215538025,2.473923444747925
5,Buche,0.08560687303543091,0.6182752251625061,0.8808387517929077,17.598173141479492,0.0897679552435875,1.683148741722107,0.18910178542137146,2.3535284996032715
6,Buche,0.11855757981538773,0.6475604772567749,1.0783661603927612,17.909461975097656,0.11010334640741348,1.7151541709899902,0.18842847645282745,2.360830068588257
7,Buche,0.09302768856287003,0.5608938336372375,1.2044869661331177,17.25636863708496,0.12266644090414047,1.6487518548965454,0.21567514538764954,2.357433319091797
8,Eiche,0.15427044034004211,0.6593193411827087,1.1283000707626343,14.286336898803711,0.11101919412612915,1.3514713048934937,0.2494092583656311,1.8457162380218506
9,Eiche,0.13577650487422943,0.6512612700462341,1.148207664489746,14.40342903137207,0.1133958250284195,1.3630571365356445,0.25494998693466187,1.885252594947815
10,Eiche,0.09424424171447754,0.6906257271766663,0.8807489275932312,14.348441123962402,0.08691894263029099,1.3573894500732422,0.2107623964548111,1.8683772087097168
11,Eiche,0.10946638137102127,0.6188183426856995,1.1516695022583008,13.888165473937988,0.11298247426748276,1.312290906906128,0.3081882894039154,1.7575621604919434
12,Fichte,0.16513016819953918,1.4684333801269531,0.3853513300418854,19.182331085205078,0.03998439386487007,1.845713496208191,0.13172784447669983,2.377746105194092
13,Fichte,0.19295479357242584,1.591062068939209,0.47756823897361755,19.1831111907959,0.04948050528764725,1.8458434343338013,0.12034877389669418,2.394813299179077
14,Fichte,0.19138363003730774,1.6227946281433105,0.42545437812805176,19.239900588989258,0.04414600133895874,1.8517118692398071,0.1194341704249382,2.39652419090271
15,Fichte,0.1438581347465515,1.6257330179214478,0.4535534083843231,18.670473098754883,0.04680316895246506,1.7927770614624023,0.11541849374771118,2.304147481918335
