,art,mod_std,mod_mean
0,Eiche,2.951101541519165,2.9674019813537598
1,Eiche,3.535107135772705,3.1206655502319336
2,Eiche,3.0083656311035156,2.99943470954895
3,Eiche,2.8327462673187256,2.992171287536621
4,Eiche,3.059319257736206,3.0619194507598877
5,Eiche,3.446842670440674,3.1394665241241455
6,Eiche,2.5734148025512695,2.926323890686035
7,Eiche,2.7756927013397217,2.8987209796905518
8,Eiche,2.77933406829834,2.8761563301086426
9,Eiche,3.9166853427886963,3.1640617847442627
10,Eiche,3.5217859745025635,3.184757947921753
11,Eiche,3.3179855346679688,3.192294120788574
12,Eiche,2.992572546005249,3.000206470489502
13,Eiche,2.831109046936035,2.973869562149048
14,Eiche,2.8417258262634277,2.746702194213867
15,Eiche,3.367548704147339,3.179316520690918
16,Laerche,2.060641288757324,2.584733247756958
17,Laerche,2.0082106590270996,2.606423854827881
18,Laerche,1.9798141717910767,2.6065993309020996
19,Laerche,1.9846633672714233,2.632356882095337
20,Laerche,1.6771212816238403,2.5716731548309326
21,Laerche,1.7427098751068115,2.5763278007507324
22,Laerche,2.1579601764678955,2.6399405002593994
23,Laerche,1.9504145383834839,2.5891764163970947
24,Laerche,1.953608512878418,2.56276273727417
25,Laerche,2.090891122817993,2.628054141998291
26,Laerche,1.9224460124969482,2.5978479385375977
27,Laerche,2.0080602169036865,2.614824056625366
28,Laerche,1.926034688949585,2.6180686950683594
29,Laerche,2.0401012897491455,2.6999783515930176
30,Laerche,2.312159538269043,2.6607372760772705
31,Laerche,2.03659725189209,2.6113240718841553
32,Ahorn,1.5469903945922852,2.4617695808410645
33,Ahorn,1.4347587823867798,2.447643280029297
34,Ahorn,1.5467138290405273,2.4747185707092285
35,Ahorn,1.7454801797866821,2.4862217903137207
36,Ahorn,1.6463931798934937,2.496460437774658
37,Ahorn,1.4331146478652954,2.477316379547119
38,Ahorn,1.808884859085083,2.5550036430358887
39,Ahorn,1.8975838422775269,2.544450283050537
40,Ahorn,2.193686008453369,2.5439467430114746
41,Ahorn,1.7776484489440918,2.577141284942627
42,Ahorn,2.317772626876831,2.509110689163208
43,Ahorn,2.0411829948425293,2.4812488555908203
44,Ahorn,1.432471513748169,2.455662488937378
45,Ahorn,1.431103229522705,2.44865345954895
46,Ahorn,1.4331846237182617,2.4526658058166504
47,Ahorn,1.6472798585891724,2.4228789806365967
48,Ahorn,1.5061237812042236,2.4591386318206787
49,Ahorn,1.6459931135177612,2.423302173614502
50,Ahorn,1.3513461351394653,2.3961760997772217
51,Ahorn,1.6473603248596191,2.3907551765441895
52,Ahorn,1.434203863143921,2.399144172668457
53,Ahorn,1.7494893074035645,2.483060598373413
54,Ahorn,1.7137175798416138,2.4487321376800537
55,Ahorn,1.6172873973846436,2.2764382362365723
56,Ahorn,1.5099260807037354,2.430309534072876
57,Ahorn,1.8376214504241943,2.447000026702881
58,Ahorn,1.5056761503219604,2.4177231788635254
59,Ahorn,1.8160271644592285,2.076775312423706
60,Ahorn,1.8080523014068604,2.4926538467407227
61,Ahorn,1.9861118793487549,2.4508633613586426
62,Ahorn,1.8404213190078735,2.460017681121826
63,Ahorn,1.6497836112976074,2.488342046737671
64,Ahorn,1.5087604522705078,2.447496175765991
65,Ahorn,1.5451656579971313,2.4823243618011475
66,Ahorn,1.5875813961029053,2.2981297969818115
67,Ahorn,2.391812562942505,2.526320695877075
68,Ahorn,1.783573031425476,2.2914035320281982
69,Ahorn,2.0696706771850586,2.3224234580993652
70,Ahorn,2.414839744567871,2.5165855884552
71,Ahorn,2.456449031829834,2.6034469604492188
72,Ahorn,2.120950937271118,2.462315082550049
73,Ahorn,2.4997527599334717,2.4527933597564697
74,Ahorn,1.687730312347412,2.2639200687408447
75,Ahorn,1.7799371480941772,2.2682716846466064
76,Ahorn,1.6518967151641846,2.2819740772247314
77,Ahorn,1.7819050550460815,2.2765743732452393
78,Ahorn,2.1696557998657227,2.473903179168701
79,Ahorn,2.144641876220703,2.4892115592956543
80,Buche,3.796154260635376,2.6252377033233643
81,Buche,4.395586013793945,2.620685338973999
82,Buche,4.408483505249023,2.7117629051208496
83,Buche,4.492908000946045,2.6147685050964355
84,Buche,2.4597253799438477,2.6813347339630127
85,Buche,2.8345985412597656,2.601708173751831
86,Buche,4.242266654968262,2.666936159133911
87,Buche,3.8526647090911865,2.6500818729400635
88,Buche,5.8538713455200195,2.6664109230041504
89,Buche,4.294853210449219,2.5991828441619873
90,Buche,3.493619203567505,2.6020090579986572
91,Buche,4.111629009246826,2.7182726860046387
92,Buche,2.653076410293579,2.7087481021881104
93,Buche,4.100388526916504,2.5798325538635254
94,Buche,3.1777687072753906,2.6101696491241455
95,Buche,5.599517345428467,3.0634148120880127
96,Buche,5.179576396942139,2.7216622829437256
97,Buche,5.630383014678955,3.104053497314453
98,Buche,5.40042781829834,3.0172345638275146
99,Buche,2.661397933959961,2.8608851432800293
100,Buche,5.003032684326172,3.0069000720977783
101,Buche,5.176109313964844,3.0492966175079346
102,Buche,2.5762434005737305,2.8623411655426025
103,Buche,3.2715606689453125,2.9549925327301025
104,Buche,2.9739151000976562,2.969881296157837
105,Buche,3.727776050567627,2.950281858444214
106,Buche,2.6429717540740967,2.8785924911499023
107,Buche,3.5916597843170166,2.951636791229248
108,Buche,2.532895803451538,2.9419612884521484
109,Buche,3.742152690887451,2.91804575920105
110,Buche,4.118066310882568,2.9559967517852783
111,Buche,5.370608329772949,3.089975118637085
112,Buche,4.607778072357178,3.0370283126831055
113,Buche,5.598019123077393,3.136805772781372
114,Buche,6.52496337890625,3.246471405029297
115,Buche,5.854510307312012,2.9450345039367676
116,Buche,3.6475112438201904,2.871190309524536
117,Buche,8.595616340637207,3.283763885498047
118,Buche,7.064295768737793,3.174367666244507
119,Buche,3.510028600692749,2.931291103363037
120,Buche,5.4169020652771,3.000816583633423
121,Buche,3.2784512042999268,2.9510140419006348
122,Buche,3.814568519592285,3.0759615898132324
123,Buche,3.3915085792541504,2.9619476795196533
124,Buche,2.925842046737671,2.895322799682617
125,Buche,3.0874226093292236,2.8406355381011963
126,Buche,3.0134689807891846,2.8796980381011963
127,Buche,2.7641799449920654,2.9031522274017334
128,Eiche,4.924143314361572,3.184091567993164
129,Eiche,4.340322017669678,3.159827947616577
130,Eiche,4.135300159454346,3.208949565887451
131,Eiche,4.108486175537109,3.249103546142578
132,Eiche,3.947082757949829,3.0737297534942627
133,Eiche,3.614680290222168,3.2343153953552246
134,Eiche,3.8101329803466797,3.1004016399383545
135,Eiche,5.042600154876709,3.4537649154663086
136,Eiche,5.639666557312012,3.3892931938171387
137,Eiche,6.904167175292969,3.488762617111206
138,Eiche,6.997353553771973,3.6711957454681396
139,Eiche,3.699063777923584,3.4723494052886963
140,Eiche,7.965043544769287,3.5710999965667725
141,Eiche,3.9373996257781982,3.1872968673706055
142,Eiche,6.545251369476318,3.5281360149383545
143,Eiche,5.445112228393555,3.349702835083008
144,Eiche,4.596035480499268,3.272714138031006
145,Eiche,2.612467050552368,3.2522692680358887
146,Eiche,2.80802845954895,3.114741086959839
147,Eiche,8.450057983398438,3.782721996307373
148,Eiche,3.1884446144104004,3.3138253688812256
149,Eiche,4.342970848083496,3.00469970703125
150,Eiche,4.898993968963623,3.5014402866363525
151,Eiche,5.261543273925781,3.5329935550689697
152,Eiche,4.862663269042969,3.4305779933929443
153,Eiche,7.760597229003906,3.598144054412842
154,Eiche,5.3640007972717285,3.296373128890991
155,Eiche,3.7284023761749268,3.6164608001708984
156,Eiche,3.7587952613830566,3.4501845836639404
157,Eiche,4.086177825927734,3.315284013748169
158,Eiche,4.615065097808838,3.280169725418091
159,Eiche,5.000401496887207,3.307851791381836
160,Eiche,5.377285957336426,3.3695316314697266
161,Eiche,4.516529083251953,3.3939480781555176
162,Eiche,9.455225944519043,3.848093271255493
163,Eiche,4.330516815185547,3.4116861820220947
164,Eiche,4.840699195861816,3.438305139541626
165,Eiche,5.168646812438965,3.322861671447754
166,Eiche,5.172297477722168,3.1796152591705322
167,Eiche,4.9491286277771,3.4271960258483887
168,Eiche,4.888810634613037,3.423278570175171
169,Eiche,4.563528537750244,3.435567617416382
170,Eiche,2.9585394859313965,3.338329553604126
171,Eiche,3.1221156120300293,3.192784070968628
172,Eiche,4.860876083374023,3.465695858001709
173,Eiche,4.741495132446289,3.4917030334472656
174,Eiche,5.599030494689941,3.2572922706604004
175,Eiche,5.282815456390381,3.5520496368408203
176,Fichte,2.4260568618774414,2.7457897663116455
177,Fichte,1.8735334873199463,2.6918716430664062
178,Fichte,2.106157064437866,2.683760166168213
179,Fichte,2.406148910522461,2.656928777694702
180,Fichte,1.9610331058502197,2.7925703525543213
181,Fichte,1.8718596696853638,2.748992919921875
182,Fichte,1.8717530965805054,2.678762435913086
183,Fichte,1.3881677389144897,2.5248231887817383
184,Fichte,2.0710365772247314,2.7170259952545166
185,Fichte,1.8453128337860107,2.7200024127960205
186,Fichte,1.934000849723816,2.6752331256866455
187,Fichte,1.8379144668579102,2.6961982250213623
188,Fichte,1.778297781944275,2.711057424545288
189,Fichte,2.025564670562744,2.6517140865325928
190,Fichte,3.82702898979187,2.897958278656006
191,Fichte,2.3802106380462646,2.6886229515075684
192,Fichte,2.7071638107299805,2.7526021003723145
193,Fichte,2.7299294471740723,2.765892267227173
194,Fichte,2.464515209197998,2.6502859592437744
195,Fichte,2.4047985076904297,2.742516040802002
196,Fichte,2.4712326526641846,2.6864569187164307
197,Fichte,2.4491238594055176,2.606978416442871
198,Fichte,1.6844755411148071,2.6858057975769043
199,Fichte,2.1485440731048584,2.767688274383545
200,Fichte,2.7499473094940186,2.6862239837646484
201,Fichte,1.580568790435791,2.6052868366241455
202,Fichte,2.12184476852417,2.637603759765625
203,Fichte,2.121647834777832,2.698169469833374
204,Fichte,2.5158326625823975,2.7242934703826904
205,Fichte,2.8851735591888428,2.9670934677124023
206,Fichte,2.6230239868164062,2.8448715209960938
