,art,phase_std,phase_mean
0,Ahorn,0.04650234058499336,1.9012210369110107
1,Ahorn,0.0571717731654644,1.9056884050369263
2,Ahorn,0.06382904201745987,1.932796835899353
3,Ahorn,0.06554640084505081,1.9009995460510254
4,Buche,0.06652598828077316,1.8178318738937378
5,Buche,0.0897679552435875,1.683148741722107
6,Buche,0.11010334640741348,1.7151541709899902
7,Buche,0.12266644090414047,1.6487518548965454
8,Eiche,0.11101919412612915,1.3514713048934937
9,Eiche,0.1133958250284195,1.3630571365356445
10,Eiche,0.08691894263029099,1.3573894500732422
11,Eiche,0.11298247426748276,1.312290906906128
12,Fichte,0.03998439386487007,1.845713496208191
13,Fichte,0.04948050528764725,1.8458434343338013
14,Fichte,0.04414600133895874,1.8517118692398071
15,Fichte,0.04680316895246506,1.7927770614624023
16,Kiefer,0.05841372534632683,1.8444253206253052
17,Kiefer,0.07301456481218338,1.9501674175262451
18,Kiefer,0.0859554260969162,1.7951761484146118
19,Kiefer,0.08163808286190033,1.953381061553955
20,Laerche,0.04545976221561432,1.593160629272461
21,Laerche,0.05512087419629097,1.5620453357696533
22,Laerche,0.041911039501428604,1.5996832847595215
23,Laerche,0.03655143827199936,1.5024402141571045
24,Eiche,0.21055996417999268,1.4218285083770752
25,Eiche,0.0879553034901619,1.5696874856948853
26,Eiche,0.10572181642055511,1.5437895059585571
27,Eiche,0.07305438816547394,1.6225768327713013
28,Eiche,0.09685684740543365,1.4541409015655518
29,Eiche,0.09258637577295303,1.3412576913833618
30,Eiche,0.06372040510177612,1.368799090385437
31,Eiche,0.07937698066234589,1.2112691402435303
32,Eiche,0.07053496688604355,1.4075114727020264
33,Eiche,0.0704006627202034,1.2753868103027344
34,Eiche,0.06881365180015564,1.7045490741729736
35,Eiche,0.06528680771589279,1.728331208229065
36,Eiche,0.07061474025249481,1.6611937284469604
37,Eiche,0.10065574198961258,1.787917137145996
38,Eiche,0.07374196499586105,1.6976453065872192
39,Eiche,0.07026810199022293,1.5164333581924438
40,Eiche,0.10604768991470337,1.4997502565383911
41,Eiche,0.07981670647859573,1.600213646888733
42,Eiche,0.07526388764381409,1.6314365863800049
43,Eiche,0.1724492311477661,1.0882965326309204
44,Eiche,0.08484919369220734,1.2038832902908325
45,Eiche,0.10094393789768219,1.7420907020568848
46,Eiche,0.08622217923402786,1.799907922744751
47,Eiche,0.06545881181955338,1.5744441747665405
48,Eiche,0.06100832670927048,1.4226524829864502
49,Eiche,0.08038188517093658,1.5770370960235596
50,Eiche,0.09590111672878265,1.495609998703003
51,Eiche,0.062407951802015305,1.4663828611373901
52,Eiche,0.07608019560575485,1.4890998601913452
53,Eiche,0.07951377332210541,1.5112115144729614
54,Eiche,0.06044772267341614,1.537024736404419
55,Eiche,0.06057169288396835,1.5122661590576172
56,Eiche,0.10961183160543442,1.5129772424697876
57,Eiche,0.07002465426921844,1.4684078693389893
58,Eiche,0.06242038682103157,1.5581172704696655
59,Eiche,0.08282491564750671,1.5981910228729248
60,Eiche,0.06453889608383179,1.5239894390106201
61,Eiche,0.06500870734453201,1.5900415182113647
