,art,intensity_std,intensity_mean,phase_std,phase_mean
0,Eiche,0.020776906982064247,0.18817821145057678,0.06811709702014923,1.7085169553756714
1,Eiche,0.010135181248188019,0.12961241602897644,0.0767701119184494,1.4331433773040771
2,Eiche,0.018568765372037888,0.18347829580307007,0.06681615114212036,1.577379822731018
3,Eiche,0.019595427438616753,0.19792304933071136,0.061468321830034256,1.5821682214736938
4,Eiche,0.010640374384820461,0.12435413151979446,0.07185215502977371,1.364518404006958
5,Eiche,0.015783455222845078,0.14026087522506714,0.073440782725811,1.3996551036834717
6,Eiche,0.013272051699459553,0.1376451551914215,0.07736983150243759,1.5320221185684204
7,Eiche,0.01791021041572094,0.14320777356624603,0.06678799539804459,1.5211917161941528
8,Eiche,0.013866527937352657,0.13016360998153687,0.07810141891241074,1.5744000673294067
9,Eiche,0.022375715896487236,0.15604349970817566,0.07981393486261368,1.6188850402832031
10,Eiche,0.014273027889430523,0.15163221955299377,0.08890551328659058,1.5517228841781616
11,Eiche,0.013653028756380081,0.13107900321483612,0.08672986179590225,1.5820759534835815
12,Eiche,0.012930340133607388,0.12508586049079895,0.08931126445531845,1.4775142669677734
13,Eiche,0.01284711342304945,0.12564586102962494,0.09375260025262833,1.4867050647735596
14,Eiche,0.012142976745963097,0.13827045261859894,0.08793830126523972,1.5028088092803955
15,Eiche,0.012881269678473473,0.1425321102142334,0.08538434654474258,1.4751769304275513
16,Laerche,0.03645722568035126,0.32414597272872925,0.06026533246040344,1.5341746807098389
17,Laerche,0.034438177943229675,0.33303216099739075,0.04889887198805809,1.5574618577957153
18,Laerche,0.025023657828569412,0.30672672390937805,0.047418732196092606,1.5175365209579468
19,Laerche,0.0333908312022686,0.3237486481666565,0.05075014382600784,1.5570712089538574
20,Laerche,0.03277302160859108,0.33083391189575195,0.05111443251371384,1.5682052373886108
21,Laerche,0.029433000832796097,0.32311463356018066,0.04898586869239807,1.5514566898345947
22,Laerche,0.01983817294239998,0.28005051612854004,0.04676617309451103,1.4972519874572754
23,Laerche,0.030499562621116638,0.3268662393093109,0.04880440607666969,1.5073403120040894
24,Laerche,0.035405077040195465,0.3206508755683899,0.05096807703375816,1.5076773166656494
25,Laerche,0.036897141486406326,0.3139420747756958,0.050639960914850235,1.4987705945968628
26,Laerche,0.030162734910845757,0.33073318004608154,0.047766707837581635,1.5153201818466187
