,art,phase_std,phase_mean
0,Ahorn,0.4452522099018097,19.71501350402832
1,Ahorn,0.5472583770751953,19.757112503051758
2,Ahorn,0.6087432503700256,20.015525817871094
3,Ahorn,0.6288716793060303,19.711679458618164
4,Buche,0.6435989141464233,18.911718368530273
5,Buche,0.8808387517929077,17.598173141479492
6,Buche,1.0783661603927612,17.909461975097656
7,Buche,1.2044869661331177,17.25636863708496
8,Eiche,1.1283000707626343,14.286336898803711
9,Eiche,1.148207664489746,14.40342903137207
10,Eiche,0.8807489275932312,14.348441123962402
11,Eiche,1.1516695022583008,13.888165473937988
12,Fichte,0.3853513300418854,19.182331085205078
13,Fichte,0.47756823897361755,19.1831111907959
14,Fichte,0.42545437812805176,19.239900588989258
15,Fichte,0.4535534083843231,18.670473098754883
16,Kiefer,0.5615745186805725,19.168895721435547
17,Kiefer,0.6946953535079956,20.180234909057617
18,Kiefer,0.8301876187324524,18.690818786621094
19,Kiefer,0.7736720442771912,20.210002899169922
20,Laerche,0.45056459307670593,16.714149475097656
21,Laerche,0.5486366152763367,16.404930114746094
22,Laerche,0.4152221083641052,16.778907775878906
23,Laerche,0.365389347076416,15.811643600463867
24,Eiche,2.1831204891204834,14.983160972595215
25,Eiche,0.8704109191894531,16.478422164916992
26,Eiche,1.0490963459014893,16.219196319580078
27,Eiche,0.713863730430603,17.003334045410156
28,Eiche,1.0151201486587524,15.323206901550293
29,Eiche,0.9835392236709595,14.18387508392334
30,Eiche,0.6804094314575195,14.465245246887207
31,Eiche,0.8746658563613892,12.85786247253418
32,Eiche,0.7452192306518555,14.856088638305664
33,Eiche,0.7900136709213257,13.514766693115234
34,Eiche,0.7101315855979919,17.809303283691406
35,Eiche,0.6335664987564087,18.042381286621094
36,Eiche,0.7531394362449646,17.38359260559082
37,Eiche,0.972435474395752,18.61892318725586
38,Eiche,0.7409631013870239,17.741491317749023
39,Eiche,0.6979912519454956,15.94962215423584
40,Eiche,1.07225501537323,15.779675483703613
41,Eiche,0.7866176962852478,16.781740188598633
42,Eiche,0.7363777160644531,17.09062385559082
43,Eiche,1.9470157623291016,11.578214645385742
44,Eiche,1.0153307914733887,12.780084609985352
45,Eiche,1.0082257986068726,18.17303466796875
46,Eiche,0.8685682415962219,18.736303329467773
47,Eiche,0.6458911299705505,16.527400970458984
48,Eiche,0.6544628739356995,15.009292602539062
49,Eiche,0.7940029501914978,16.55200958251953
50,Eiche,0.9725205302238464,15.73928451538086
51,Eiche,0.682417094707489,15.448701858520508
52,Eiche,0.758996307849884,15.675965309143066
53,Eiche,0.7916181087493896,15.896796226501465
54,Eiche,0.5987019538879395,16.15561866760254
55,Eiche,0.6432659029960632,15.90828800201416
56,Eiche,1.1232242584228516,15.911383628845215
57,Eiche,0.7358956336975098,15.468714714050293
58,Eiche,0.617076575756073,16.365419387817383
59,Eiche,0.8150482773780823,16.761444091796875
60,Eiche,0.6987837553024292,16.024879455566406
61,Eiche,0.6391967535018921,16.68208885192871
62,Eiche,0.7030380964279175,16.41867446899414
63,Eiche,0.8366745710372925,16.907697677612305
64,Eiche,0.940700352191925,16.30060577392578
65,Eiche,1.082337737083435,16.022836685180664
66,Eiche,0.9751356244087219,15.8513822555542
67,Eiche,0.8624331951141357,14.008541107177734
68,Eiche,1.1443066596984863,13.311299324035645
69,Eiche,0.7189649939537048,14.421884536743164
70,Eiche,0.6904034614562988,14.76779556274414
71,Eiche,1.4008288383483887,13.498379707336426
72,Eiche,0.8058350682258606,14.534981727600098
73,Eiche,0.5746257901191711,14.672830581665039
74,Eiche,0.699377715587616,15.057693481445312
75,Eiche,1.058083415031433,13.82685661315918
76,Eiche,0.6919854283332825,16.379335403442383
77,Eiche,0.6525256633758545,15.335956573486328
78,Eiche,1.0399569272994995,15.170770645141602
79,Eiche,1.5902000665664673,18.232995986938477
80,Eiche,0.7616600394248962,18.245174407958984
81,Eiche,0.8908955454826355,17.095735549926758
82,Eiche,0.8567463159561157,18.135622024536133
83,Eiche,0.9402844309806824,18.77577781677246
84,Eiche,0.6119933724403381,19.099897384643555
85,Eiche,0.7632136344909668,17.067873001098633
86,Eiche,1.0166360139846802,18.538366317749023
87,Eiche,0.8922580480575562,18.227428436279297
88,Eiche,0.6629843711853027,17.347822189331055
89,Eiche,0.7154375910758972,18.456607818603516
90,Eiche,0.558152973651886,19.300552368164062
91,Eiche,0.583268404006958,19.058509826660156
92,Eiche,0.6322771310806274,18.727190017700195
93,Eiche,0.4913965165615082,17.628341674804688
94,Eiche,0.6331540942192078,17.787721633911133
95,Eiche,0.5446930527687073,19.327970504760742
96,Eiche,0.7333542108535767,16.961246490478516
97,Eiche,0.6751289367675781,16.83488655090332
98,Eiche,0.5475497841835022,16.122541427612305
99,Eiche,0.7835540175437927,17.775632858276367
100,Eiche,0.7021312117576599,17.949695587158203
101,Eiche,0.6969398856163025,17.701303482055664
102,Eiche,0.6868993043899536,18.274415969848633
103,Eiche,0.571215033531189,18.654325485229492
104,Laerche,0.40202009677886963,20.06081771850586
105,Laerche,0.46986106038093567,20.101099014282227
106,Laerche,0.39399755001068115,20.051136016845703
107,Laerche,0.4326130449771881,20.20840835571289
108,Laerche,0.4273451566696167,20.052467346191406
109,Laerche,0.45626920461654663,20.13856315612793
110,Laerche,0.4088851809501648,20.070980072021484
111,Laerche,0.46293437480926514,19.900733947753906
112,Laerche,0.3747563064098358,20.05069351196289
113,Laerche,0.41066065430641174,20.10426902770996
114,Laerche,0.3861736059188843,19.974061965942383
115,Laerche,0.4165754020214081,20.182498931884766
116,Laerche,0.41656938195228577,20.043081283569336
117,Laerche,0.423284113407135,20.092361450195312
118,Laerche,0.46064692735671997,20.25723648071289
119,Laerche,0.42949971556663513,20.233503341674805
120,Laerche,0.42008092999458313,20.96743392944336
121,Laerche,0.4567428529262543,19.996450424194336
122,Laerche,0.5601500868797302,17.537572860717773
123,Laerche,0.4711609482765198,19.08118438720703
124,Laerche,0.5000751614570618,18.9555606842041
125,Laerche,0.48515740036964417,19.768190383911133
126,Laerche,0.48476067185401917,21.086660385131836
127,Laerche,0.46149149537086487,21.011423110961914
128,Laerche,0.45842084288597107,21.118213653564453
129,Laerche,0.6445828676223755,21.074907302856445
130,Laerche,0.5151646733283997,18.509483337402344
131,Laerche,0.5624197721481323,18.86549949645996
132,Laerche,0.4855380654335022,18.80056381225586
133,Laerche,0.5415640473365784,18.80941390991211
134,Laerche,0.5126106142997742,18.77047348022461
135,Laerche,0.45070844888687134,21.107900619506836
136,Laerche,0.5808560848236084,21.001834869384766
137,Laerche,0.4246678054332733,20.92327880859375
138,Laerche,1.4763048887252808,17.63445281982422
139,Laerche,0.4990444481372833,19.975847244262695
140,Laerche,0.5091623663902283,21.10782814025879
141,Laerche,0.56541508436203,21.028518676757812
